MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight
54993,11/2/2006,12/24/2008,Male,6,.,beijing,CN,31.0,3/31/2014,210,505308,239560.0,234188.0,580717,3/31/2014,1,3.483253589,18,34,0.9616390429999999,619760,50
28065,2/19/2007,8/3/2007,Male,6,,beijing,CN,42.0,3/31/2014,140,362480,171483.0,167434.0,293678,3/25/2014,7,5.194244604,17,29,1.25231444,415768,33
55106,2/1/2007,8/30/2007,Male,6,.,beijing,CN,40.0,3/31/2014,135,351159,163618.0,164982.0,283712,3/21/2014,11,5.298507463,18,20,1.254675516,406361,26
21189,8/22/2008,8/23/2008,Male,5,Los Angeles,CA,US,64.0,3/31/2014,23,337314,116350.0,125500.0,281336,12/26/2013,97,27.86363636,73,11,1.090869565,372204,12
39546,4/10/2009,4/15/2009,Male,6,guiyang,guizhou,CN,48.0,3/31/2014,152,273844,124560.0,130702.0,309928,3/27/2014,5,4.78807947,47,27,0.970657895,338813,39
56972,2/10/2008,9/29/2009,Male,6,guangzhou,guangdong,CN,64.0,3/31/2014,92,313338,112364.0,76946.0,294585,1/13/2014,79,7.043956044,52,10,0.967692483,343121,15
44924,3/22/2006,3/29/2006,Male,6,wulumuqishi,xinjiang,CN,46.0,3/31/2014,101,248864,120500.0,114469.0,287042,3/31/2014,1,7.19,28,20,0.965346535,298873,29
22631,4/9/2010,4/9/2010,Female,6,wenzhoushi,zhejiang,CN,50.0,3/31/2014,73,301864,82440.0,114971.0,287230,3/29/2014,3,10.11111111,45,7,0.962070222,351198,14
32197,6/7/2011,7/1/2011,Male,5,DRANCY,,FR,50.0,3/31/2014,56,262958,72596.0,87401.0,321489,3/26/2014,6,13.05454545,94,5,0.828478237,295158,7
31645,7/5/2010,7/5/2010,Female,6,wenzhou,zhejiang,CN,43.0,3/31/2014,64,204855,85258.0,60267.0,375074,3/17/2014,15,11.33333333,73,13,0.7080101529999999,251907,16
58877,11/18/2010,11/20/2010,Female,6,PARIS,PARIS,FR,34.0,3/31/2014,43,298321,69056.0,91581.0,262013,3/10/2014,22,16.83333333,95,1,0.988658044,337839,3
37994,11/13/2004,12/2/2004,Male,6,beijing,.,CN,47.0,3/31/2014,145,256093,92975.0,126821.0,271438,3/26/2014,6,5.027777778,42,15,0.95253487,353101,66
28012,11/23/2006,11/18/2007,Male,5,SAN MARINO,CA,US,58.0,3/31/2014,29,210269,44750.0,53977.0,321529,1/25/2014,67,23.0,112,3,0.799126984,245808,4
54943,10/25/2006,10/27/2007,Male,6,shenzhen,guangdong,CN,47.0,3/31/2014,118,241614,105466.0,119832.0,179514,3/29/2014,3,6.196581197,38,14,1.398381742,270704,20
57881,2/1/2010,2/1/2010,Female,6,guangzhou,guangdong,CN,45.0,3/31/2014,50,289917,68941.0,79076.0,270067,3/30/2014,2,14.87755102,100,9,0.9219848409999999,328345,12
1254,3/28/2008,4/5/2008,Male,4,BOWLAND HEIGHTS,CALIFORNIA,US,63.0,3/31/2014,22,286164,69300.0,54764.0,234721,1/27/2014,65,31.19047619,102,6,1.0260845859999999,310002,8
8253,7/15/2010,8/20/2010,Male,6,wulumuqi,xinjiang,CN,48.0,3/31/2014,101,219995,93840.0,93114.0,172231,3/25/2014,7,6.84,41,15,1.3865249,257193,22
58899,11/10/2010,2/23/2011,Female,6,PARIS,,FR,50.0,3/31/2014,40,249882,66239.0,63260.0,284160,2/16/2014,45,17.58974359,77,12,0.8378442429999999,281705,13
26955,4/6/2006,2/22/2007,Male,6,wulumuqishi,xinjiang,CN,54.0,3/31/2014,64,215013,99735.0,93006.0,169358,3/30/2014,2,11.20634921,48,16,1.4015962640000001,249914,23
41616,8/29/2011,10/22/2011,Male,6,dongguan,guangdong,CN,41.0,3/31/2014,38,191038,60930.0,52316.0,332896,3/8/2014,24,18.67567568,74,0,0.70828541,215694,3
21501,7/30/2008,11/21/2008,Male,6,.,beijing,CN,49.0,3/31/2014,106,220641,69566.0,122763.0,167113,3/28/2014,4,6.438095238,31,4,1.369404116,251134,9
41281,6/7/2011,6/9/2011,Male,6,VECHEL,NORD BRABANT,AN,,3/31/2014,23,255573,46800.0,198224.0,214590,3/26/2014,6,32.90909091,135,7,1.0616309240000001,286520,9
47229,4/10/2005,4/10/2005,Male,6,guangzhou,guangdong,CN,69.0,3/31/2014,94,193169,59169.0,74497.0,305250,3/9/2014,23,7.47311828,42,5,0.741803833,277394,46
28474,4/13/2010,4/13/2010,Male,6,,CA,US,41.0,3/31/2014,20,256337,64258.0,59600.0,222380,1/18/2014,74,32.78947368,110,8,1.004904443,280760,9
58472,2/14/2010,3/1/2010,Female,5,,,FR,48.0,3/31/2014,44,204801,38510.0,75816.0,281837,3/15/2014,17,15.88372093,66,10,0.7873084440000001,235939,12
13942,10/14/2010,11/1/2010,Male,6,PARIS,FRANCE,FR,39.0,3/31/2014,62,241719,72806.0,83496.0,243674,3/15/2014,17,11.24590164,121,7,0.9029900190000001,274882,10
45075,2/1/2007,3/23/2007,Male,6,zhanjiang,guangdong,CN,46.0,3/31/2014,213,217809,136769.0,96568.0,187917,3/29/2014,3,3.433962264,37,0,1.146354614,795398,49
47114,1/15/2005,3/17/2005,Male,6,.,beijing,CN,47.0,3/31/2014,74,209810,101398.0,83139.0,148685,3/21/2014,11,9.493150685,51,8,1.4333644280000002,235176,14
54619,1/7/2006,1/8/2006,Male,6,guangzhou,guangdong,CN,62.0,3/31/2014,101,209362,94055.0,107896.0,159129,3/14/2014,18,7.08,29,3,1.33816985,237787,11
12349,6/16/2008,6/27/2008,Male,6,shenzhen,guangdong,CN,46.0,3/31/2014,87,199866,83780.0,102594.0,149254,3/21/2014,11,8.26744186,36,9,1.424714581,224081,15
35883,4/11/2006,4/18/2007,Male,6,wulumuqishi,xinjiang,CN,55.0,3/31/2014,53,195075,96945.0,69814.0,144076,3/30/2014,2,13.46153846,61,3,1.469224298,211879,7
56091,11/25/2004,2/10/2005,Female,6,guangzhoushi,guangdongsheng,CN,46.0,3/31/2014,95,197222,134702.0,60366.0,149053,3/24/2014,8,7.574468085,80,8,1.414895104,212131,14
2137,4/11/2005,5/3/2005,Male,6,guangzhou,guangdong,CN,69.0,3/31/2014,131,199716,86875.0,89532.0,220948,3/16/2014,16,5.492307692000001,50,14,0.9448842709999999,234826,20
27708,3/20/2006,3/25/2006,Male,6,shenzhen,guangdong,CN,45.0,3/31/2014,95,194326,96692.0,75484.0,148227,3/29/2014,3,7.712765957,37,8,1.3986401940000002,220012,19
28014,12/1/2006,1/7/2011,Female,6,Paris,,FR,48.0,3/31/2014,47,218842,63100.0,69298.0,285144,3/29/2014,3,15.80434783,105,5,0.725685618,251712,7
3539,10/13/2009,10/13/2009,Male,4,UPLAND,CALIFORNIA,US,53.0,3/31/2014,25,228851,115502.0,48696.0,220389,12/15/2013,108,23.41666667,72,9,0.937899941,258717,10
56149,2/13/2005,3/6/2005,Male,4,fanyu,guangdong,CN,39.0,3/31/2014,24,228227,138960.0,32385.0,189813,2/27/2014,34,27.82608696,192,6,1.087220053,239108,10
44936,3/30/2006,5/2/2007,Male,6,wulumuqishi,xinjiang,CN,37.0,3/31/2014,54,183336,101235.0,70902.0,141012,11/28/2013,125,11.37735849,54,5,1.462104927,206363,11
62751,5/8/2007,8/12/2007,Male,6,beijing,beijing,CN,45.0,3/31/2014,166,206908,71418.0,112597.0,229303,3/31/2014,1,4.381818182,31,10,0.890172305,260880,25
40066,2/27/2009,3/4/2009,Male,6,guangzhou,guangdong,CN,63.0,3/31/2014,81,185232,107153.0,75102.0,140819,2/27/2014,34,8.5625,46,1,1.4291794430000002,213436,5
18793,4/25/2006,6/2/2006,Male,6,.,beijing,CN,48.0,3/31/2014,98,191809,88788.0,85119.0,137876,3/30/2014,2,7.505154639,46,11,1.458541443,210435,17
13963,1/18/2011,4/3/2011,Male,6,guangzhou,guangdong,CN,63.0,3/31/2014,35,230527,146039.0,119384.0,201141,3/29/2014,3,21.38235294,84,13,0.9985545459999999,254051,16
46084,1/4/2007,3/31/2007,Male,6,guangzhou,guangdong,CN,54.0,3/31/2014,95,190478,91729.0,89721.0,140803,3/29/2014,3,7.712765957,47,1,1.3969850069999998,220352,21
58798,5/4/2010,5/14/2010,Male,5,guangzhou,guangdong,CN,51.0,3/31/2014,46,177032,53523.0,50287.0,256766,3/19/2014,13,15.88888889,54,0,0.764737193,191878,2
56089,12/4/2004,2/27/2005,Male,6,guangzhoushi,guangdongsheng,CN,49.0,3/31/2014,54,208801,99145.0,84348.0,160825,2/23/2014,38,13.05660377,52,0,1.20853437,230772,4
58693,12/11/2010,8/6/2011,Male,6,PARIS,,FR,39.0,3/31/2014,21,219390,54900.0,63000.0,185493,3/10/2014,22,34.9,154,4,1.029507529,237893,5
28780,7/13/2012,7/13/2012,Male,6,guangzhou,guangdong,CN,47.0,3/31/2014,110,190726,75354.0,103498.0,187588,3/31/2014,1,5.752293578,39,5,1.015978367,227957,11
27836,7/16/2006,8/18/2006,Male,6,.,beijing,CN,59.0,3/31/2014,134,181303,106902.0,72650.0,140356,3/25/2014,7,5.428571429,37,9,1.356053179,200953,15
38073,1/26/2005,3/1/2005,Male,6,changsha,hunan,CN,76.0,3/31/2014,107,181982,81623.0,80541.0,135811,3/30/2014,2,6.839622642,30,2,1.3989924230000002,205938,9
22629,7/15/2010,7/15/2010,Male,5,SUMIDA-KU,TOKYO-TO,JP,49.0,3/31/2014,70,195866,181233.0,27525.0,219282,6/2/2013,304,6.028985507000001,32,8,0.863479447,199386,9
12326,5/21/2008,6/12/2008,Male,6,.,beijing,CN,40.0,3/31/2014,189,181836,74201.0,104344.0,235687,3/31/2014,1,3.872340426,20,5,0.802633323,262134,56
24222,1/8/2012,2/23/2012,Male,6,guangzhou,guangdong,CN,51.0,3/31/2014,87,186523,80624.0,91862.0,132283,3/28/2014,4,8.418604651,44,3,1.4251770069999998,206809,7
916,11/18/2006,6/1/2007,Male,6,fanyu,guangdong,CN,46.0,3/31/2014,29,192450,59672.0,56764.0,211369,3/21/2014,11,25.67857143,131,7,0.8888699859999999,226692,10
45008,12/10/2007,12/10/2007,Male,5,wulumuqi,xinjiang,CN,54.0,3/31/2014,48,166322,45881.0,92675.0,130135,3/31/2014,1,15.14893617,61,3,1.408197795,195368,10
